Total no. of words replaced from the find-list: 703

               SL NO        ORIGINAL WORD         REPLACE WORD    REPLACE COUNT 
                 305                anger              colére                49 
                 306               copies               calque               446 
                 307            undertake          entreprenez                43 
                 308               venice               venise                81 
                 309                plead              plaider                46 
                 310             patience             patience               163 
                 311              charity            altruisme                46 
                 312           commission       commissionnons                39 
                 313                falls                choit                65 
                 314                heard                 ouie               337 
                 315                tower                 tour                68 
                 316                mercy                pitie               155 
                 317               abroad               dehors                46 
                 318             sentence            condamner                37 
                 319                below              dessous                50 
                 320              bearing             naissant                69 
                 321                egypt               <zypte                38 
                 322                chief                 dabe               108 
                 323                touch             coudoyer               105 
                 324                flood              combler                37 
                 325                glory               gloire                82 
                 326            execution             supplice                44 
                 327               breath              souffle               183 
                 328               doctor             médecin               100 
                 329               yonder                18. y                64 
                 330              conduct              amenent                47 
                 331              senator            sénateur                90 
                 332                earth             mondiale               266 
                 333             proclaim            proclamez                38 
                 334                until            jusqu’a                76 
                 335               malice         méchanceté                66 
                 336                since                  car               441 
                 337               breast                 sein                83 
                 338              present           présenter               237 
                 339               coming               venant               130 
                 340              subject               théme                96 
                 341                fight           combattons               253 
                 342                drown                noyer                42 
                 343                fruit             fruitier                35 
                 344             constant            continuel                48 
                 345            desperate         désespéré                45 
                 346          displeasure           dépncisir                39 
                 347                shame                honte               261 
                 348           conscience       for intérieur               112 
                 349               buried              enterra                54 
                 350                trick             artifice                47 
                 351               favour               faveur               111 
                 352               office               charge               116 
                 353                while             tant que               224 
                 354                naked                   nu                49 
                 355                stain                salir                39 
                 356                wound             blessons                66 
                 357              meaning                 sens                54 
                 358               saying               disant                53 
                 359                claim        tevendication                58 
                 360               lovely             charmant                52 
                 361              triumph             triomphe                39 
                 362               though              quoique               615 
                 363                teach            enseigner               102 
                 364               beaten              abattue                41 
                 365                night                 nuit               555 
                 366              morning                matin               108 
                 367                shore             riverain                43 
                 368               demand              demande                55 
                 369                stone               pierre                51 
                 370              benefit            benéfice                35 
                 371              fashion                 mode                92 
                 372                horse               cheval               183 
                 373               afraid               timide                35 
                 374            substance            substance                37 
                 375                lands             atterrit                49 
                 376               except                 sauf                37 
                 377               offend             insulter                59 
                 378                pluck             cueillir               107 
                 379                short                court                87 
                 380               device               unité                34 
                 381                doing              faisant                68 
                 382                elbow                coude                44 
                 383              thought             pensées               355 
                 384                taste            déguster                75 
                 385               reason               raison               258 
                 386             maintain            conserver                42 
                 387           lieutenant           licutenant                65 
                 388                scene           machiniste               794 
                 389                about           concernant               387 
                 390               advice              conseil                41 
                 391              jealous               jaloux                44 
                 392             courtesy          affabilité                54 
                 393                niece               niéce                53 
                 394                grace                grace               516 
                 395             goodness               bonté                50 
                 396                above               dessus               139 
                 397               gentle                 doux               358 
                 398               friend                 amie               366 
                 399              general            général               183 
                 400                early       de bonne heure                44 
                 401                given               donné               185 
                 402                broke               brisai                82 
                 403              ancient              antique                75 
                 404                glass                verre                55 
                 405               weight                poids                41 
                 406             pleasure           jouissance               159 
                 407                makes            rétablir               352 
                 408                worse                 pire               152 
                 409               poison           intoxiquer                74 
                 410             mistress            maitresse               377 
                 411               people               peuple               183 
                 412              monster              monstre                52 
                 413               flower                fleur                40 
                 414               valour            vaillance                87 
                 415               appear         apparaissent               123 
                 416               forget             oublions                89 
                 417               letter              missive               190 
                 418                watch              horloge               177 
                 419              valiant            courageux               142 
                 420               fourth                quart                49 
                 421                noble              élevé               603 
                 422                holds                tient                82 
                 423               single              un a un                57 
                 424               surely               certes                37 
                 425              another                autre               406 
                 426                jewel                joyau                51 
                 427           reputation          réputation                41 
                 428               commit              commets                38 
                 429                marry              marions               352 
                 430        entertainment       divertissement                36 
                 431                worth               valeur               194 
                 432              believe               croyez               229 
                 433               danger               danger                90 
                 434                prize                 prix                39 
                 435               grieve            chagriner                38 
                 436               giving              donnant                41 
                 437              several            plusicurs                79 
                 438                found              trouvé               215 
                 439               humour               humeur                84 
                 440             remember             rapellez               180 
                 441              express              express                35 
                 442               nought                 ZeTO                52 
                 443                taken          pris. pries                92 
                 444               knight            chevalier                97 
                 445                quite                 tout                86 
                 446                dance               danser                57 
                 447                drawn             dessiné                76 
                 448                raise               levent                46 
                 449              madness             démence                58 
                 450             question         questionnent               141 
                 451           soothsayer        ‘ivinatoire                42 
                 452              suspect           soupgonnez                38 
                 453                merit             mériter                46 
                 454                sharp              acéré                62 
                 455                abide             attendre                34 
                 456                doubt              doutent               160 
                 457                brain             cervelle                70 
                 458               palace               palais               155 
                 459               degree              licence                39 
                 460              measure             mesurent                91 
                 461               guilty             coupable                63 
                 462                equal              égaler                44 
                 463              trumpet            trompette                72 
                 464               revolt             révolte                36 
                 465              through                prét               258 
                 466                rough              inégal                64 
                 467              country             contrée               126 
                 468             strength                force               112 
                 469                uncle                oncle               172 
                 470               throne                  tne                56 
                 471              absence             ¢clipse                52 
                 472               attend              visiter               113 
                 473                seven                 sept                68 
                 474               bright            éclatant                65 
                 475            protector           protecteur                45 
                 476              instant               moment                58 
                 477               mother             maternel               306 
                 478                tread            piétiner                41 
                 479           themselves            lui méme               143 
                 480               defend           défendons                65 
                 481              willing           volontaire                37 
                 482              written              écrite                34 
                 483               wonder           miraculeux               105 
                 484                hence      par conséquent               300 
                 485              passion              passion                98 
                 486                those             celui la               547 
                 487               remain              testons                59 
                 488                green                 vert                92 
                 489             suddenly         soudainement                44 
                 490           complexion                teint                35 
                 491                greet               saluer                43 
                 492               hollow         cavez. caver                46 
                 493                bears                 nait               102 
                 494              commend            glorifier                87 
                 495           understand            comprends                98 
                 496               supper               souper                45 
                 497               indeed               certes               378 
                 498            something               un peu               171 
                 499                house               maison               484 
                 500                mouth               bouche               113 
                 501               itself            lui méme               215 
                 502              unhappy        ™alchanceux                34 
                 503               senate                senat                38 
                 504              despair         désespérer                41 
                 505                beard                barbe                76 
                 506                force               forcez               105 
                 507                flesh                chair               115 
                 508               father          pere. pére               735 
                 509                blind              aveugle                76 
                 510                knock                buter                64 
                 511               bishop               eveque                43 
                 512                beast                béte                62 
                 513                money              monnaie               158 
                 514              apparel              véture                39 
                 515                speed              galoper               227 
                 516               chaste              pudique                34 
                 517                dying             teignant                45 
                 518               proper           convenable                62 
                 519               street                  ruc                77 
                 520                again           de nouveau               637 
                 521               season               saison                36 
                 522                every                toute               491 
                 523             presence            présence                99 
                 524              welcome          accueillons               339 
                 525               mortal               mortel                94 
                 526             kindness           amabilité                44 
                 527             flourish              éclore               112 
                 528             prologue             prologue                37 
                 529               barren               pelée                38 
                 530                first              premier              1137 
                 531               wealth              fortune                70 
                 532               repent             repentir                55 
                 533              hanging           suspension                37 
                 534                lives                  vit               190 
                 535               figure            chiffrons                34 
                 536               double             géminé                80 
                 537              revenge            vengeance               136 
                 538               beggar                gueux                54 
                 539                wrong            incorrect               205 
                 540               better             meilleur               571 
                 541                shine            reluisons                39 
                 542               enough            suffisant               276 
                 543                fetch             apporter               121 
                 544                third               tierce               237 
                 545                light             camoufle               234 
                 546               fellow             cusemble               265 
                 547                happy             chanceux               194 
                 548               betray               trahis                37 
                 549              emperor             empereur                78 
                 550            challenge              bravade                43 
                 551               shadow                ombre                71 
                 552               garden               jardin                42 
                 553               scarce                 rare                71 
                 554               choice                choix                59 
                 555              certain                  sor               163 
                 556              worship         vénération                82 
                 557                death              trépas               740 
                 558                fancy             imaginer                40 
                 559             provided               prévu               249 
                 560                guard          contréleur               119 
                 561               church              église                53 
                 562               modest              pudique                37 
                 563               beyond              passée                59 
                 564              between             incident               235 
                 565               secret           cachetteen                61 
                 566                terms           conditions                67 
                 567                enter              entrent              2080 
                 568               public            universel                56 
                 569                teeth            dentition                51 
                 570               safety           sécurité                70 
                 571               hazard              tisquer                39 
                 572              trouble              génons                69 
                 573                clown                clown               346 
                 574             dreadful             terrible                59 
                 575                grown               erties                56 
                 576                wrath          emportement                49 
                 577                proof               preuve                72 
                 578               desire               désir               202 
                 579               having                ayant               153 
                 580                means            ressource               251 
                 581             mischief            calamité                39 
                 582              counsel           conseiller               115 
                 583                chain            enchainer                51 
                 584                chair   sitge. présidence                34 
                 585                great            excellent               879 
                 586              opinion                 gré                78 
                 587              soldier               soldat               239 
                 588               forces                force                40 
                 589                wings             coulisse                48 
                 590               behold                voici               152 
                 591               tongue              langage               360 
                 592                study             étudiez                57 
                 593               before             avant de               807 
                 594                enjoy            jouissent                44 
                 595              slander              médire                44 
                 596               castle                 tour                97 
                 597               labour            accoucher                72 
                 598             glorious             gloricux                40 
                 599                ghost             revenant                83 
                 600              offence              offense                80 
                 601                place                astro               389 
                 602                power                 flot               287 
                 603                catch             attrapez                67 
                 604              receive           phagocyter                93 
                 605               finger             digitale                59 
                 606              deserve             méritez                63 
                 607                think          méditation              1013 
                 608               dagger                surin                37 
                 609                storm                orage                49 
                 610                rogue             canaille                52 
                 611             precious            précieux                75 
                 612               hector            terrifier               173 
                 613               motion          sésolution                66 
                 614            advantage           bénéfice                69 
                 615                fault                faute               140 
                 616            encounter          rencontrons                51 
                 617           particular          nommeément                55 
                 618                water              arrosez               123 
                 619               follow               suivre               296 
                 620                blood                 sang               579 
                 621             daughter                fille               347 
                 622               effect                effet                63 
                 623               thrust                buter                54 
                 624               speech             discours               117 
                 625            affection            affection                66 
                 626               person           personnage               129 
                 627             unworthy              indigne                36 
                 628               ground                  sol               137 
                 629                thing                 truc               320 
                 630                story              fabliau                64 
                 631              account          supputation                42 
                 632              gallant                brave                49 
                 633                small                petit                91 
                 634            entertain          divertissez                38 
                 635              perfect              parfait                52 
                 636                sound            résonner               189 
                 637              passage            corridoir                32 
                 638                comes                vient               588 
                 639            according        corformément                45 
                 640              captain            capitaine               156 
                 641             shepherd               berger                96 
                 642                shows              dénote                95 
                 643              tempest             tempéte                42 
                 644                close               intime                90 
                 645              flatter              adulent                41 
                 646                plain                 unie               109 
                 647                spite              rancune                54 
                 648              chamber           ventricule                97 
                 649                ready                prét               124 
                 650              justice              justice               217 
                 651              majesty             majesté               209 
                 652                where                   0d              1205 
                 653                keeps                garde                73 
                 654              clothes              véture                32 
                 655              fortune                 sort               292 
                 656                grave                tombe               156 
                 657                going               allume                89 
                 658               bottom               fesses                95 
                 659                clear         net. ramoner                58 
                 660                match      s‘entremettre                76 
                 661              kingdom              royaume                85 
                 662              quality              qualite                49 
                 663              command            maitriser               157 
                 664               toward                  «1                99 
                 665              capitol             capitale                33 
                 666              knowing          connaissant                45 
                 667                bones            ossements                66 
                 668                round                cyclo                68 
                 669                pride              orgueil                97 
                 670               solemn             solennel                40 
                 671                gaunt              désert                65 
                 672               intend           prétendre                50 
                 673             perceive            discerner                88 
                 674               denied                 niai                51 
                 675               rotten              putride                36 
                 676              request         réquisition                55 
                 677               repair           dépannage                44 
                 678             argument             argument                62 
                 679              purpose              dgssein               191 
                 680                utter             émettre                38 
                 681                widow                veuve                99 
                 682               fought          combattimes                60 
                 683               winter                hiver                45 
                 684               simple               simple               105 
                 685                their                  son              2077 
                 686                faith                  foi               363 
                 687              husband               époux               239 
                 688              stomach              estomac                41 
                 689               forbid          interdisons                53 
                 690                merry                  gai               152 
                 691                point             braquent               136 
                 692                paper             document                79 
                 693                alone                 seul               208 
                 694                spend            dépenser                64 
                 695                looks              regarde               192 
                 696             marriage              mariage                92 
                 697                along             d'aprés               100 
                 698              patient              patient                72 
                 699               should               devoir              1569 
                 700             consider           envisagent                47 
                 701               profit        bénéficient                36 
                 702              cunning                tusé                73 
                 703                grief              diuleur               189 
